EmployeeNumber,Attrition,type,month
1,Yes,Involuntary,5
2,No,,
4,Yes,Involuntary,10
5,No,,
7,No,,
8,No,,
10,No,,
11,No,,
12,No,,
13,No,,
14,No,,
15,No,,
16,No,,
18,No,,
19,Yes,Voluntary,2
20,No,,
21,No,,
22,No,,
23,No,,
24,No,,
26,No,,
27,Yes,Involuntary,10
28,No,,
30,No,,
31,Yes,Voluntary,3
32,No,,
33,Yes,Involuntary,5
35,No,,
36,No,,
38,No,,
39,No,,
40,No,,
41,No,,
42,Yes,Involuntary,1
45,Yes,Involuntary,8
46,No,,
47,Yes,Involuntary,5
49,No,,
51,No,,
52,No,,
53,No,,
54,No,,
55,Yes,Voluntary,3
56,No,,
57,No,,
58,Yes,Voluntary,10
60,No,,
61,No,,
62,No,,
63,No,,
64,Yes,Involuntary,8
65,Yes,Involuntary,8
68,No,,
70,No,,
72,No,,
73,No,,
74,No,,
75,No,,
76,No,,
77,No,,
78,No,,
79,No,,
80,No,,
81,No,,
83,No,,
84,No,,
85,No,,
86,No,,
88,No,,
90,Yes,Involuntary,1
91,No,,
94,No,,
95,No,,
96,No,,
97,No,,
98,No,,
100,No,,
101,No,,
102,No,,
103,No,,
104,No,,
105,No,,
106,No,,
107,No,,
110,No,,
112,No,,
113,No,,
116,No,,
117,No,,
118,Yes,Voluntary,7
119,No,,
120,No,,
121,No,,
124,No,,
125,No,,
126,No,,
128,No,,
129,No,,
131,No,,
132,No,,
133,Yes,Voluntary,2
134,No,,
137,Yes,Involuntary,7
138,No,,
139,No,,
140,No,,
141,No,,
142,Yes,Involuntary,3
143,No,,
144,No,,
145,No,,
147,Yes,Voluntary,7
148,No,,
150,No,,
151,No,,
152,No,,
153,No,,
154,No,,
155,No,,
158,No,,
159,No,,
160,No,,
161,Yes,Voluntary,8
162,No,,
163,Yes,Involuntary,3
164,No,,
165,Yes,Voluntary,9
167,Yes,Involuntary,2
169,No,,
170,No,,
171,No,,
174,No,,
175,Yes,Involuntary,6
176,No,,
177,No,,
178,No,,
179,Yes,Involuntary,5
182,No,,
183,No,,
184,No,,
190,Yes,Involuntary,11
192,No,,
193,No,,
194,No,,
195,No,,
197,No,,
198,No,,
199,No,,
200,No,,
201,No,,
202,No,,
204,No,,
